paragraph,word,position,length
1,the,1,3
1,mission,2,7
1,of,3,2
1,carleton,4,8
1,college,5,7
1,is,6,2
1,to,7,2
1,provide,8,7
1,an,9,2
1,exceptional,10,11
1,undergraduate,11,13
1,liberal,12,7
1,arts,13,4
1,education,14,9
1,in,15,2
1,pursuit,16,7
1,of,17,2
1,this,18,4
1,mission,19,7
1,the,20,3
1,college,21,7
1,is,22,2
1,devoted,23,7
1,to,24,2
1,academic,25,8
1,excellence,26,10
1,distinguished,27,13
1,by,28,2
1,the,29,3
1,creative,30,8
1,interplay,31,9
1,of,32,2
1,teaching,33,8
1,learning,34,8
1,and,35,3
1,scholarship,36,11
1,and,37,3
1,dedicated,38,9
1,to,39,2
1,our,40,3
1,diverse,41,7
1,residential,42,11
1,community,43,9
1,and,44,3
1,extensive,45,9
1,international,46,13
1,engagements,47,11
2,the,48,3
2,college’s,49,9
2,aspiration,50,10
2,is,51,2
2,to,52,2
2,prepare,53,7
2,students,54,8
2,to,55,2
2,lead,56,4
2,lives,57,5
2,of,58,2
2,learning,59,8
2,that,60,4
2,are,61,3
2,broadly,62,7
2,rewarding,63,9
2,professionally,64,14
2,satisfying,65,10
2,and,66,3
2,of,67,2
2,service,68,7
2,to,69,2
2,humanity,70,8
2,by,71,2
2,discovering,72,11
2,and,73,3
2,sharing,74,7
2,exemplary,75,9
2,models,76,6
2,of,77,2
2,undergraduate,78,13
2,education,79,9
2,the,80,3
2,college,81,7
2,seeks,82,5
2,to,83,2
2,be,84,2
2,a,85,1
2,leader,86,6
2,among,87,5
2,those,88,5
2,colleges,89,8
2,universities,90,12
2,and,91,3
2,professional,92,12
2,organizations,93,13
2,that,94,4
2,share,95,5
2,our,96,3
2,dedication,97,10
2,to,98,2
2,this,99,4
2,vision,100,6
3,carleton,101,8
3,strives,102,7
3,to,103,2
3,be,104,2
3,a,105,1
3,collaborative,106,13
3,community,107,9
3,that,108,4
3,encourages,109,10
3,curiosity,110,9
3,and,111,3
3,intellectual,112,12
3,adventure,113,9
3,of,114,2
3,the,115,3
3,highest,116,7
3,quality,117,7
3,faculty,118,7
3,staff,119,5
3,and,120,3
3,students,121,8
3,respect,122,7
3,one,123,3
3,another,124,7
3,for,125,3
3,the,126,3
3,serious,127,7
3,work,128,4
3,and,129,3
3,the,130,3
3,playful,131,7
3,humor,132,5
3,we,133,2
3,share,134,5
3,and,135,3
3,we,136,2
3,support,137,7
